Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId,date,self_counts,total_counts,likes_counts,retweet_counts,neutral_counts,positive_counts,negative_counts,Sentiment_value,day,weekend
Bristol Museum,visits,990.0,2015-04-01,,2017/05/10 14:50:55.376+00,6854,2015-04-01,5.0,5.0,9.0,11.0,3.0,1.0,1.0,0.11194,Wednesday,False
Bristol Museum,visits,1452.0,2015-04-02,,2017/05/10 14:50:55.380+00,6848,2015-04-02,4.0,9.0,22.0,42.0,3.0,0.0,6.0,-0.34040000000000004,Thursday,False
Bristol Museum,visits,1894.0,2015-04-03,,2017/05/10 14:50:55.384+00,6842,2015-04-03,2.0,3.0,3.0,3.0,0.0,1.0,2.0,-0.14976666666666671,Friday,False
Bristol Museum,visits,1939.0,2015-04-04,,2017/05/10 14:50:55.387+00,6836,2015-04-04,3.0,2.0,12.0,5.0,1.0,1.0,0.0,0.064,Saturday,True
Bristol Museum,visits,796.0,2015-04-05,,2017/05/10 14:50:55.391+00,6830,2015-04-05,1.0,3.0,5.0,2.0,1.0,2.0,0.0,0.26913333333333334,Sunday,True
Bristol Museum,visits,1211.0,2015-04-06,,2017/05/10 14:50:55.395+00,6824,2015-04-06,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,Monday,False
Bristol Museum,visits,1125.0,2015-04-07,,2017/05/10 14:50:55.398+00,6818,2015-04-07,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,Tuesday,False
Bristol Museum,visits,984.0,2015-04-08,,2017/05/10 14:50:55.402+00,6812,2015-04-08,11.0,2.0,13.0,22.0,2.0,0.0,0.0,0.0,Wednesday,False
Bristol Museum,visits,1510.0,2015-04-09,,2017/05/10 14:50:55.405+00,6806,2015-04-09,5.0,3.0,8.0,12.0,3.0,0.0,0.0,0.0,Thursday,False
Bristol Museum,visits,927.0,2015-04-10,,2017/05/10 14:50:55.409+00,6688,2015-04-10,1.0,2.0,5.0,8.0,1.0,1.0,0.0,0.31845,Friday,False
Bristol Museum,visits,956.0,2015-04-11,,2017/05/10 14:50:55.412+00,6682,2015-04-11,3.0,3.0,3.0,4.0,2.0,1.0,0.0,0.17020000000000002,Saturday,True
Bristol Museum,visits,710.0,2015-04-12,,2017/05/10 14:50:55.416+00,6676,2015-04-12,3.0,5.0,2.0,5.0,4.0,1.0,0.0,0.07604,Sunday,True
