datetime,prcp
2014-01-01,5.8
2014-01-02,17.5
2014-01-03,4.3
2014-01-04,10.2
2014-01-05,16.5
2014-01-06,8.9
2014-01-07,7.1
2014-01-08,4.3
2014-01-09,8.9
2014-01-10,0.5
2014-01-11,0.5
2014-01-12,0.3
2014-01-13,4.6
2014-01-14,6.4
2014-01-15,3.6
2014-01-16,8.9
2014-01-17,4.3
2014-01-18,2.5
2014-01-19,7.9
2014-01-20,0.0
2014-01-21,0.5
2014-01-22,5.3
2014-01-23,0.5
2014-01-24,1.0
2014-01-25,9.4
2014-01-26,1.3
2014-01-27,16.0
2014-01-28,6.6
2014-01-29,6.1
2014-01-30,1.5
2014-01-31,0.0
2014-02-01,22.1
2014-02-02,2.0
2014-02-03,0.0
2014-02-04,1.3
2014-02-05,15.0
2014-02-06,7.9
2014-02-07,16.8
2014-02-08,5.8
2014-02-09,3.6
2014-02-10,3.0
2014-02-11,1.3
2014-02-12,5.6
2014-02-13,11.2
2014-02-14,0.8
2014-02-15,13.7
2014-02-16,6.9
2014-02-17,0.3
2014-02-18,6.1
2014-02-19,0.3
2014-02-20,2.3
2014-02-21,3.6
2014-02-22,3.3
2014-02-23,0.8
2014-02-24,0.3
2014-02-25,3.8
2014-02-26,4.3
2014-02-27,6.6
2014-02-28,4.3
2014-03-01,5.1
2014-03-02,0.3
2014-03-03,9.9
2014-03-04,3.3
2014-03-05,0.3
2014-03-06,0.0
2014-03-07,1.0
2014-03-08,0.5
2014-03-09,0.0
2014-03-10,0.0
2014-03-11,0.0
2014-03-12,0.3
2014-03-13,0.3
2014-03-14,0.5
2014-03-15,0.3
2014-03-16,0.0
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,0.3
2014-03-20,0.0
2014-03-21,2.8
2014-03-22,8.4
2014-03-23,0.3
2014-03-24,0.8
2014-03-25,4.3
2014-03-26,2.0
2014-03-27,0.3
2014-03-28,0.0
2014-03-29,4.3
2014-03-30,0.0
2014-03-31,0.0
2014-04-01,0.5
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,13.0
2014-04-05,0.0
2014-04-06,2.3
2014-04-07,2.5
2014-04-08,5.1
2014-04-09,0.3
2014-04-10,0.3
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,9.9
2014-04-22,5.1
2014-04-23,2.5
2014-04-24,1.5
2014-04-25,0.0
2014-04-26,11.7
2014-04-27,2.5
2014-04-28,6.9
2014-04-29,8.4
2014-04-30,1.3
2014-05-01,2.0
2014-05-02,10.4
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.3
2014-05-06,7.9
2014-05-07,4.3
2014-05-08,1.5
2014-05-09,2.0
2014-05-10,7.1
2014-05-11,4.1
2014-05-12,0.8
2014-05-13,0.5
2014-05-14,0.5
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.3
2014-05-21,0.3
2014-05-22,5.1
2014-05-23,8.9
2014-05-24,0.0
2014-05-25,11.2
2014-05-26,0.0
2014-05-27,4.1
2014-05-28,2.5
2014-05-29,5.6
2014-05-30,0.5
2014-05-31,0.0
2014-06-01,0.3
2014-06-02,0.0
2014-06-03,0.8
2014-06-04,0.8
2014-06-05,11.9
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,2.8
2014-06-09,0.3
2014-06-10,0.3
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,2.3
2014-06-15,0.3
2014-06-16,0.0
