Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId
M Shed,visits,1240,2019/02/14 00:00:00+00,,2019/02/15 14:47:27.701+00,1
Bristol Museum,visits,1240,2019/02/14 00:00:00+00,,2019/02/15 14:49:24.025+00,2
M Shed,visits,1430,2019/02/13 00:00:00+00,,2019/02/15 14:45:54.180+00,3
Bristol Museum,visits,1606,2019/02/13 00:00:00+00,,2019/02/15 14:48:28.977+00,4
M Shed,visits,669,2019/02/12 00:00:00+00,Test 3,2019/02/12 11:10:08.654+00,5
Bristol Museum,visits,1094,2019/02/12 00:00:00+00,,2019/02/15 14:48:16.007+00,6
M Shed,visits,1233,2019/02/11 00:00:00+00,,2019/02/15 14:45:03.826+00,7
M Shed,visits,3633,2019/02/10 00:00:00+00,,2019/02/15 14:44:50.754+00,8
Bristol Museum,visits,2843,2019/02/10 00:00:00+00,,2019/02/15 14:48:03.276+00,9
M Shed,visits,4467,2019/02/09 00:00:00+00,,2019/02/15 14:44:31.422+00,10
Bristol Museum,visits,3421,2019/02/09 00:00:00+00,,2019/02/15 14:47:46.526+00,11
M Shed,visits,1291,2019/02/08 00:00:00+00,,2019/02/09 10:01:06.192+00,12
Bristol Museum,visits,1282,2019/02/08 00:00:00+00,,2019/02/09 10:01:25.430+00,13
M Shed,visits,1304,2019/02/07 00:00:00+00,,2019/02/09 09:56:47.489+00,14
Bristol Museum,visits,1133,2019/02/07 00:00:00+00,,2019/02/09 09:57:11.019+00,15
M Shed,visits,1375,2019/02/06 00:00:00+00,,2019/02/09 09:55:51.423+00,16
Bristol Museum,visits,1742,2019/02/06 00:00:00+00,,2019/02/09 09:56:13.138+00,17
M Shed,visits,1150,2019/02/05 00:00:00+00,,2019/02/06 11:33:19.175+00,18
Bristol Museum,visits,1259,2019/02/05 00:00:00+00,,2019/02/06 11:33:45.754+00,19
M Shed,visits,3521,2019/02/03 00:00:00+00,,2019/02/04 12:18:06.973+00,20
Bristol Museum,visits,3188,2019/02/03 00:00:00+00,,2019/02/04 12:18:22.006+00,21
Bristol Museum,visits,3165,2019/02/02 00:00:00+00,,2019/02/03 16:57:29.713+00,22
M Shed,visits,3737,2019/02/02 00:00:00+00,,2019/02/03 16:58:07.878+00,23
Bristol Museum,visits,585,2019/02/01 00:00:00+00,,2019/02/03 16:57:16.145+00,24
M Shed,visits,437,2019/02/01 00:00:00+00,,2019/02/03 16:57:47.303+00,25
M Shed,visits,898,2019/01/31 00:00:00+00,,2019/02/03 16:53:13.601+00,26
Bristol Museum,visits,956,2019/01/31 00:00:00+00,,2019/02/03 16:54:22.261+00,27
M Shed,visits,1296,2019/01/30 00:00:00+00,,2019/02/03 16:52:24.162+00,28
Bristol Museum,visits,1107,2019/01/30 00:00:00+00,,2019/02/03 16:53:43.887+00,29
M Shed,visits,1195,2019/01/29 00:00:00+00,,2019/02/03 16:52:07.939+00,30
Bristol Museum,visits,814,2019/01/29 00:00:00+00,,2019/02/03 16:53:30.709+00,31
Bristol Museum,visits,0,2019/01/28 00:00:00+00,,2019/02/12 12:21:32.809+00,32
M Shed,visits,0,2019/01/28 00:00:00+00,,2019/02/12 12:25:54.773+00,33
Bristol Museum,visits,1846,2019/01/27 00:00:00+00,,2019/01/29 14:22:02.664+00,34
M Shed,visits,4184,2019/01/27 00:00:00+00,,2019/01/29 14:22:19.280+00,35
M Shed,visits,4223,2019/01/26 00:00:00+00,,2019/01/27 09:44:20.140+00,36
Bristol Museum,visits,2636,2019/01/26 00:00:00+00,,2019/01/29 14:21:51.762+00,37
M Shed,visits,1053,2019/01/25 00:00:00+00,,2019/01/27 09:43:22.342+00,38
Bristol Museum,visits,794,2019/01/25 00:00:00+00,,2019/01/29 14:21:36.884+00,39
M Shed,visits,996,2019/01/24 00:00:00+00,,2019/01/27 09:43:38.282+00,40
Bristol Museum,visits,780,2019/01/24 00:00:00+00,,2019/01/29 14:21:27.649+00,41
M Shed,visits,1224,2019/01/23 00:00:00+00,,2019/01/27 09:43:51.025+00,42
Bristol Museum,visits,831,2019/01/23 00:00:00+00,,2019/01/29 14:21:19.354+00,43
M Shed,visits,912,2019/01/22 00:00:00+00,,2019/01/27 09:44:04.012+00,44
Bristol Museum,visits,974,2019/01/22 00:00:00+00,,2019/01/29 14:21:08.393+00,45
Bristol Museum,visits,0,2019/01/21 00:00:00+00,,2019/02/12 12:21:44.007+00,46
M Shed,visits,0,2019/01/21 00:00:00+00,,2019/02/12 12:24:46.019+00,47
M Shed,visits,3483,2019/01/20 00:00:00+00,,2019/01/27 09:41:09.874+00,48
Bristol Museum,visits,1667,2019/01/20 00:00:00+00,,2019/01/29 14:20:37.786+00,49
M Shed,visits,3794,2019/01/19 01:00:00+00,,2019/01/20 09:41:50.208+00,50
Bristol Museum,visits,1927,2018/12/29 01:00:00+00,,2018/12/30 14:50:13.348+00,51
M Shed,visits,3383,2018/12/29 01:00:00+00,,2019/01/02 09:57:02.644+00,52
