name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lyneham,2015-01-01,11.7,6.8,9.8,11.7,3.6,8.4,9.3,97,0.792,100,12.5,rain,0,0,64.7,33.5,206.4,1025.8,96.3,9.7,12.1,1,1,,2015-01-01T08:13:37,2015-01-01T16:09:11,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-02,11.7,2.8,6.9,11.7,0.1,4.3,3.2,78.1,5.762,100,8.33,rain,0,0,57.6,33.5,262.8,1029.7,53.8,20.3,47,4,2,,2015-01-02T08:13:30,2015-01-02T16:10:14,0.4,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-03,7.6,3.2,4.3,4.6,-0.1,1.8,3.6,95.4,5.003,100,12.5,rain,0,0,59.4,22.3,38.4,1023.9,94.5,12.8,20,1.7,1,,2015-01-03T08:13:20,2015-01-03T16:11:21,0.44,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-04,5,0.3,2.4,3.3,-2.5,0.7,2.1,98.3,0.005,100,4.17,rain,0,0,25.2,11.1,204.4,1034.9,82.3,4.2,27.2,2.3,1,,2015-01-04T08:13:07,2015-01-04T16:12:30,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-05,8.9,5.1,7.1,7.1,3.4,5.4,5.9,92.3,0,0,0,,0,0,30.2,14.8,198.6,1028.2,97.9,12.2,12.7,1,1,,2015-01-05T08:12:50,2015-01-05T16:13:42,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-06,8.9,2.8,6.4,6.7,0.2,3.5,4.8,89.8,1.194,100,8.33,rain,0,0,51.8,35.2,227.9,1021.1,55.1,16.3,40.2,3.5,2,,2015-01-06T08:12:30,2015-01-06T16:14:56,0.54,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-07,9.7,2.1,6,6.7,-0.6,3.1,4.3,89.3,0.199,100,8.33,rain,0,0,57.5,29.6,209.5,1022.5,67.5,15.5,16.4,1.5,1,,2015-01-07T08:12:07,2015-01-07T16:16:12,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-08,10.4,6,8,10.4,2.5,5.7,6,87.8,9.921,100,8.33,rain,0,0,51.8,22.4,249.2,1021.1,66.3,16.4,33.5,2.9,2,,2015-01-08T08:11:41,2015-01-08T16:17:31,0.61,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-09,13,7.4,10.5,13,3.8,9.4,9.3,92.9,0.407,100,16.67,rain,0,0,94.5,49.9,247,1019,89.1,17.1,41.9,3.7,2,,2015-01-09T08:11:11,2015-01-09T16:18:52,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-10,12.6,2.6,8,12.6,-1.1,6,4.7,80.2,0.609,100,8.33,rain,0,0,87,44.5,260,1016.1,67.2,18.1,38.6,3.4,2,,2015-01-10T08:10:38,2015-01-10T16:20:15,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-11,7.7,1.9,5,4,-2.1,0.8,1.9,80.6,0.787,100,4.17,rain,0,0,63,33.6,254.2,1022.7,52.7,18.8,25.1,2.1,1,,2015-01-11T08:10:02,2015-01-11T16:21:40,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-12,11,6.2,9,11,2.2,6.5,7.7,92,5.941,100,12.5,rain,0,0,61.2,29.6,226.9,1009.5,82.7,14.1,8.1,0.7,0,,2015-01-12T08:09:23,2015-01-12T16:23:07,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-13,10.7,1.4,5.1,10.7,-3.3,2.1,3.8,92.1,3.987,100,16.67,"rain,snow",0,0.1,57.6,33.5,239.1,1002.4,73.3,21.5,32,2.6,2,,2015-01-13T08:08:41,2015-01-13T16:24:36,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-14,8.6,0.1,3.6,4.2,-3.9,-0.5,2.1,90.4,2.766,100,8.33,"rain,snow",0,0.3,70.5,37.2,209,1002.8,73.1,17.6,44.8,4,3,,2015-01-14T08:07:56,2015-01-14T16:26:06,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-15,10.2,1.7,5.8,10.2,-3.5,1.8,2.8,81.4,14.52,100,16.67,rain,0,1.6,76,38.8,230.7,989.6,56.2,15.8,33.9,2.9,2,,2015-01-15T08:07:08,2015-01-15T16:27:39,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-16,6.1,0.1,2.9,3.1,-3.8,-0.4,0.3,83.1,2.959,100,8.33,"rain,snow",0,0.1,55.4,24.1,251.4,1004.8,33.9,18.6,40.3,3.4,2,,2015-01-16T08:06:17,2015-01-16T16:29:12,0.87,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-17,4.1,-1.2,1.7,3,-4.4,-0.8,-0.3,86.6,0.594,100,8.33,"rain,snow",0,0.2,37.4,13,225.9,1012.7,60.7,18.5,31.5,2.7,2,,2015-01-17T08:05:23,2015-01-17T16:30:48,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-18,3.8,0.8,2.2,1.2,-3,-0.6,0.4,88.6,0.992,100,16.67,"rain,snow",0,0,31.7,20.4,343.6,1012.8,57.2,18.7,56.7,4.8,3,,2015-01-18T08:04:26,2015-01-18T16:32:25,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-19,2.7,-1.5,0.4,0.8,-3.9,-2.1,-2.4,82.1,0.001,100,4.17,"rain,snow",0,0,30.6,18.3,325.5,1015,48.4,17.6,47.5,4.1,2,,2015-01-19T08:03:27,2015-01-19T16:34:03,0.97,"Snow, Rain, Partially cloudy",Clearing in the afternoon with morning rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-20,2.8,-2,0.6,-1,-6.2,-3.2,-1.4,86.1,0.007,100,8.33,"rain,snow",0,0,51.8,35.2,146.5,1008.6,78.9,12.1,43.2,3.8,2,,2015-01-20T08:02:24,2015-01-20T16:35:42,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-21,4.1,1.4,3.2,1.2,-2.3,-0.4,2.7,97.2,4.971,100,16.67,rain,0,0,48.2,25.8,136,1006,85.9,8.8,23,1.9,1,,2015-01-21T08:01:19,2015-01-21T16:37:22,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-22,3.1,-2,0.9,1,-3.6,-1.5,-0.2,92.7,0.008,100,8.33,rain,0,0,22.7,12.9,57.1,1020.6,66.2,7.7,57.7,4.9,3,,2015-01-22T08:00:12,2015-01-22T16:39:04,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-23,7.8,-3.7,1.4,5.1,-7.2,-1.2,0.1,91.6,0.004,100,4.17,rain,0,0.4,46.4,18.4,203.5,1023.8,51.8,6.6,62,5.3,3,,2015-01-23T07:59:02,2015-01-23T16:40:47,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-24,7.9,1.4,3.9,5.3,-3,0.2,0.6,79.6,0.99,100,4.17,rain,0,0,58.7,24.1,292.5,1027.3,35.7,18.8,71.2,6.1,3,,2015-01-24T07:57:49,2015-01-24T16:42:30,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-25,7.6,0.8,4.6,5.8,-2.6,2,2.7,87.6,0.001,100,4.17,rain,0,0,39.2,20.5,233.6,1030.5,84.1,14.8,39.3,3.3,2,,2015-01-25T07:56:34,2015-01-25T16:44:15,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-26,8.6,2.9,6.8,6.7,-1.7,3.9,4.6,87,0.593,100,8.33,rain,0,0,46.4,25.9,284.2,1025.4,68.1,20.5,45.5,4,3,,2015-01-26T07:55:17,2015-01-26T16:46:00,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-27,7.7,2.6,5.2,4.8,-0.8,2.3,3.2,87.4,0,0,0,,0,0,31.3,18.3,265.2,1027.3,86.6,19.9,65.2,5.6,3,,2015-01-27T07:53:57,2015-01-27T16:47:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-28,8.7,1.2,5.1,5.2,-2.7,1,2.5,84.5,1.192,100,8.33,rain,0,0,88.8,44.5,256.4,1006.8,66.9,18,39.1,3.4,2,,2015-01-28T07:52:35,2015-01-28T16:49:32,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-29,5.2,-0.6,1.9,1,-5.8,-2.4,-0.3,85.6,0.401,100,8.33,"rain,snow",0,0.2,57.6,31.5,261.9,986.9,52.8,20.6,36.9,3.1,1,,2015-01-29T07:51:11,2015-01-29T16:51:20,0.31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-30,6.3,1.1,3.2,2.7,-3.2,-0.9,0.3,81.4,0.014,100,8.33,rain,0,0.2,55.4,25.9,286,980.3,56.1,18.7,51.2,4.5,2,,2015-01-30T07:49:44,2015-01-30T16:53:07,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-01-31,5,-0.4,2.4,0.3,-3.7,-2,-0.7,80.6,1.201,100,8.33,"rain,snow",0.1,1.2,63,33.4,314.8,987.5,61.8,21,44.3,3.9,3,,2015-01-31T07:48:15,2015-01-31T16:54:55,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-01,3.6,-1.3,1.7,-0.2,-5.2,-2.8,-2.8,72.4,0.197,100,4.17,rain,0,0,59.1,29.6,320.9,1002.7,59.5,21.2,73.4,6.5,3,,2015-02-01T07:46:45,2015-02-01T16:56:44,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-02,2.1,-3.2,-0.7,-0.6,-7.4,-4,-4.2,77.2,0,0,0,,0,0,30.2,13,299.4,1007.2,60.1,20.9,33.7,3,2,,2015-02-02T07:45:12,2015-02-02T16:58:33,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-03,3.1,-1.8,0.1,-1.1,-6.2,-4.2,-1.9,86.3,0.593,100,4.17,"rain,snow",0,1.5,41,22.3,18.7,1009.5,56.6,14,58.7,5.1,3,,2015-02-03T07:43:37,2015-02-03T17:00:22,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-04,3.7,-2.6,0.8,-0.7,-5.6,-3.2,-2,82,0.007,100,8.33,"rain,snow",0,0.2,43.6,24.1,3.1,1021.6,52.9,15.1,69.5,6,3,,2015-02-04T07:42:01,2015-02-04T17:02:12,0.52,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-05,3.4,-1.3,0.9,-0.8,-6.3,-3.2,-1,87.1,0.396,100,4.17,"rain,snow",0,0.2,45,22.3,9.8,1027.4,74.9,16.4,47,4.1,2,,2015-02-05T07:40:22,2015-02-05T17:04:02,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-06,3.4,-2.8,-0.2,-2.5,-8.5,-5.9,-2.7,83.7,0.198,100,4.17,rain,0,0.1,55.4,38.8,42.9,1032,20.1,19.8,92,8,4,,2015-02-06T07:38:42,2015-02-06T17:05:51,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-07,3.9,-1.3,1.6,-0.4,-6.6,-2.8,0.1,90.4,0,0,0,,0,0.1,34.2,22.3,26.3,1037.4,94.4,12,79.3,6.9,3,,2015-02-07T07:37:00,2015-02-07T17:07:41,0.62,Overcast,Cloudy skies throughout the day.,cloudy,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-08,7.4,-0.7,2.5,6.4,-4.8,-0.5,0.6,88.3,1.023,100,8.33,"rain,snow",0,0.1,28.8,16.5,328.7,1039.8,27.5,10.7,94,8.1,4,,2015-02-08T07:35:16,2015-02-08T17:09:32,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-09,6.8,-2.3,1.9,5,-6.4,-0.4,1.1,94.6,0.197,100,4.17,rain,0,0,28.4,12.9,314.7,1035.8,60.3,9,71,6.1,3,,2015-02-09T07:33:31,2015-02-09T17:11:22,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
lyneham,2015-02-10,5.1,0.7,2.6,3.4,-2.9,0.7,1.5,92.7,0.198,100,4.17,"rain,snow",0,0,17.6,12.9,99.1,1032.6,96.6,6.9,60.9,5.4,2,,2015-02-10T07:31:44,2015-02-10T17:13:12,0.72,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"03647099999,03743099999,03746099999,03644099999,03649099999,03740099999"
