time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-02,8.2,5.9,9.9,,,211.0,22.1,,,
2014-01-03,7.4,5.9,10.9,,,211.0,28.3,,,
2014-01-04,6.0,2.9,7.9,,,197.0,11.7,,,
2014-01-05,7.5,3.9,12.9,,,182.0,24.3,,,
2014-01-06,9.9,8.9,11.9,,,203.0,28.2,,,
2014-01-07,8.9,5.9,10.9,,,210.0,23.1,,,
2014-01-08,8.9,6.9,10.9,,,189.0,17.6,,,
2014-01-09,7.4,4.9,10.9,,,239.0,22.4,,,
2014-01-10,6.9,4.9,8.9,,,207.0,13.8,,,
2014-01-11,5.4,1.9,7.9,,,235.0,12.9,,,
2014-01-12,5.5,1.9,9.9,,,132.0,21.4,,,
2014-01-13,5.7,3.9,8.9,,,199.0,16.3,,,
2014-01-14,4.6,1.9,8.9,,,228.0,15.2,,,
2014-01-15,9.8,8.9,10.9,,,202.0,18.5,,,
2014-01-16,7.0,5.9,7.9,,,164.0,16.3,,,
2014-01-17,7.1,5.9,8.9,,,203.0,16.4,,,
2014-01-18,8.2,6.9,8.9,,,136.0,22.1,,,
2014-01-19,5.3,3.9,6.9,,,211.0,11.8,,,
2014-01-20,4.9,3.9,6.9,,,,7.4,,,
2014-01-21,6.1,2.9,7.9,,,151.0,18.9,,,
2014-01-22,7.1,5.9,8.9,,,231.0,13.2,,,
2014-01-23,5.9,4.9,7.9,,,254.0,22.0,,,
2014-01-24,7.2,4.9,9.9,,,157.0,15.7,,,
2014-01-25,8.1,3.9,9.9,,,258.0,27.0,,,
2014-01-26,6.2,2.9,9.9,,,232.0,26.3,,,
2014-01-27,5.3,2.9,6.9,,,239.0,25.1,,,
2014-01-28,6.2,5.9,6.9,,,201.0,17.6,,,
2014-01-29,4.8,2.9,6.9,,,82.0,14.1,,,
2014-01-30,2.9,2.9,3.9,,,,13.6,,,
2014-01-31,5.9,1.9,9.9,,,166.0,21.6,,,
2014-02-01,5.2,1.9,7.9,,,216.0,27.9,,,
2014-02-02,6.6,4.9,8.9,,,208.0,20.6,,,
2014-02-03,6.9,3.9,7.9,,,139.0,28.6,,,
2014-02-04,5.8,2.9,7.9,,,167.0,27.3,,,
2014-02-05,7.7,5.9,8.9,,,190.0,38.0,,,
2014-02-06,6.2,4.9,6.9,,,149.0,19.1,,,
2014-02-07,5.9,2.9,7.9,,,238.0,25.2,,,
2014-02-08,7.2,5.9,8.9,,,201.0,33.8,,,
2014-02-09,5.1,2.9,6.9,,,221.0,29.9,,,
2014-02-10,4.9,3.9,6.9,,,218.0,19.0,,,
2014-02-11,4.9,1.9,7.9,,,215.0,26.7,,,
2014-02-12,5.9,1.9,8.9,,,207.0,33.6,,,
2014-02-13,3.9,0.9,6.9,,,224.0,21.8,,,
2014-02-14,6.8,2.9,11.9,,,170.0,36.7,,,
2014-02-15,7.2,5.9,8.9,,,238.0,35.5,,,
2014-02-16,6.2,3.9,8.9,,,205.0,14.8,,,
2014-02-17,8.2,6.9,8.9,,,162.0,22.7,,,
2014-02-18,8.2,5.9,9.9,,,215.0,13.0,,,
2014-02-19,8.4,6.9,9.9,,,214.0,16.5,,,
2014-02-20,8.6,4.9,10.9,,,218.0,23.5,,,
2014-02-21,5.6,3.9,8.9,,,221.0,21.3,,,
2014-02-22,7.8,4.9,9.9,,,221.0,21.3,,,
2014-02-23,10.1,8.9,10.9,,,193.0,31.2,,,
2014-02-24,9.0,5.9,10.9,,,183.0,25.4,,,
2014-02-25,7.3,4.9,9.9,,,199.0,20.4,,,
2014-02-26,6.7,4.9,9.9,,,222.0,19.6,,,
2014-02-27,6.9,3.9,8.9,,,232.0,27.3,,,
2014-02-28,4.5,1.9,5.9,,,5.0,18.3,,,
2014-03-01,5.2,1.9,7.9,,,236.0,9.9,,,
2014-03-02,7.2,4.9,9.9,,,200.0,23.0,,,
2014-03-03,5.4,2.9,8.9,,,115.0,15.6,,,
2014-03-04,6.7,2.9,9.9,,,259.0,12.8,,,
2014-03-05,7.7,3.9,11.9,,,232.0,12.6,,,
2014-03-06,8.8,7.9,9.9,,,188.0,22.9,,,
2014-03-07,9.2,3.9,11.9,,,213.0,17.4,,,
2014-03-08,9.9,4.9,14.9,,,133.0,19.6,,,
2014-03-09,12.7,8.9,16.9,,,174.0,16.8,,,
2014-03-10,8.7,5.9,10.9,,,24.0,20.6,,,
2014-03-11,6.4,4.9,8.9,,,56.0,23.6,,,
2014-03-12,5.2,2.9,8.9,,,59.0,15.1,,,
2014-03-13,5.9,1.9,9.9,,,62.0,10.9,,,
2014-03-14,5.7,2.9,6.9,,,,14.9,,,
2014-03-15,9.0,6.9,11.9,,,256.0,26.4,,,
2014-03-16,9.6,7.9,12.9,,,255.0,24.1,,,
2014-03-17,8.8,7.9,10.9,,,256.0,17.4,,,
2014-03-18,8.9,7.9,10.9,,,250.0,27.4,,,
2014-03-19,9.0,6.9,11.9,,,244.0,22.6,,,
2014-03-20,9.4,7.9,11.9,,,212.0,23.1,,,
2014-03-21,6.9,3.9,9.9,,,228.0,20.7,,,
2014-03-22,,,,,,,,,,
2014-03-23,5.8,2.9,9.9,,,279.0,22.3,,,
2014-03-24,5.7,1.9,8.9,,,137.0,20.1,,,
2014-03-25,7.5,5.9,9.9,,,332.0,15.7,,,
2014-03-26,5.5,2.9,7.9,,,19.0,14.5,,,
2014-03-27,4.2,0.9,7.9,,,75.0,14.8,,,
2014-03-28,5.6,2.9,8.9,,,72.0,18.8,,,
2014-03-29,10.9,5.9,16.9,,,100.0,20.3,,,
2014-03-30,12.7,7.9,17.9,,,109.0,16.4,,,
2014-03-31,11.7,8.9,14.9,,,126.0,13.6,,,
2014-04-01,11.2,7.9,15.9,,,95.0,11.4,,,
2014-04-02,12.9,11.9,15.9,,,95.0,20.1,,,
2014-04-03,11.5,9.9,13.9,,,29.0,12.4,,,
2014-04-04,10.7,7.9,13.9,,,242.0,13.0,,,
2014-04-05,11.4,8.9,12.9,,,173.0,17.5,,,
2014-04-06,12.3,11.9,12.9,,,190.0,21.9,,,
2014-04-07,11.2,8.9,12.9,,,208.0,27.3,,,
2014-04-08,8.4,5.9,10.9,,,262.0,27.1,,,
2014-04-09,9.6,6.9,12.9,,,248.0,17.4,,,
2014-04-10,9.2,5.9,12.9,,,261.0,12.4,,,
2014-04-11,9.7,5.9,14.9,,,,10.2,,,
2014-04-12,8.9,5.9,10.9,,,252.0,22.0,,,
2014-04-13,9.6,6.9,11.9,,,274.0,18.5,,,
2014-04-14,10.4,5.9,14.9,,,326.0,15.1,,,
2014-04-15,9.9,4.9,14.9,,,91.0,16.1,,,
2014-04-16,9.5,3.9,15.9,,,129.0,14.2,,,
2014-04-17,9.9,6.9,12.9,,,251.0,17.9,,,
2014-04-18,9.1,4.9,13.9,,,31.0,14.1,,,
