Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Jennifer Yuen,@JenniferYuen1,2018-01-02T23:08:52.000Z,False, is also having free days for Illinois residents on January 3 - 4.,0,0,0,0,[],['@FieldMuseum'],[],https://pbs.twimg.com/profile_images/870338243262283777/bR6RIRqs_normal.jpg,https://x.com/JenniferYuen1/status/948330280410107905,tweet_id:948330280410107905
Flying Compass,@FlyingCompass,2018-01-02T22:07:05.000Z,False,An AMAZING way to travel to     #architecture #tours  #pizza,0,0,1,0,"['#architecture', '#tours', '#pizza']","['@ChooseChicago', '@Amtrak', '@ChiUnionStation', '@FieldMuseum', '@artinstitutechi']",[],https://pbs.twimg.com/profile_images/913497057704497154/HyW2M5aA_normal.jpg,https://x.com/FlyingCompass/status/948314729721815040,tweet_id:948314729721815040
Cliff Murphy,@murphy_cliff,2018-01-02T22:07:02.000Z,False,I love the .,0,0,0,0,[],['@hideoutchicago'],[],https://pbs.twimg.com/profile_images/923290066721689600/4Lk3b1EJ_normal.jpg,https://x.com/murphy_cliff/status/948314718963486720,tweet_id:948314718963486720
Mommy Nearest CHI,@MommyNearestCHI,2018-01-02T22:01:26.000Z,False,We picked the 10 best things for your family to do this month in Chicago! http://ow.ly/YHsc30hxOt4       ,0,1,3,0,[],"['@MortonArboretum', '@TheatreSchool', '@ChiChildTheatre', '@mcachicago', '@NatureMuseum', '@FieldMuseum', '@childrensmuseum']",[],https://pbs.twimg.com/profile_images/710126845417627648/c7vHHBxc_normal.jpg,https://x.com/MommyNearestCHI/status/948313308192493570,tweet_id:948313308192493570
Field Museum,@FieldMuseum,2018-01-02T22:00:53.000Z,False,#NewYearsResolution: go to museums! Start now with Free Admission Days for IL residents on January 3 & 4: http://field.mu/nitz30hxyLb,0,10,17,0,['#NewYearsResolution'],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948313170111877124,tweet_id:948313170111877124
Lyzmaniac,@VertigoMama,2018-01-02T21:44:47.000Z,False,Awww I remember this! #suethetrex #deanambrose @ The Field Museum https://instagram.com/p/Bddm6j9F1HZ/,0,0,0,0,"['#suethetrex', '#deanambrose']",[],[],https://pbs.twimg.com/profile_images/1820257469966233600/WAZ-H01M_normal.jpg,https://x.com/VertigoMama/status/948309117726273541,tweet_id:948309117726273541
Field Museum,@FieldMuseum,2018-01-02T21:15:13.000Z,False,"Next week, we're talking Paleontology Post-Jurassic Park .  Our own Brandon Peecook will discuss how his field has developed since Jeff Goldblum was mauled by a T. rex. Don't miss out!",1,7,15,0,[],['@hideoutchicago'],['\\U0001f37b'],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948301679052705792,tweet_id:948301679052705792
Jen Biddle,@DrJenBiddle,2018-01-02T21:10:39.000Z,False," we have room for one more, don't we?",0,0,1,0,[],['@fish_scientist'],[],https://pbs.twimg.com/profile_images/1364783582590472195/whMqeZ3Z_normal.jpg,https://x.com/DrJenBiddle/status/948300531285544960,tweet_id:948300531285544960
Joshua Drew @Drew_Lab@ecoevo.social,@Drew_Lab@ecoevo.social,2018-01-02T21:05:18.000Z,False,"He has also already published. As a High. School. Student.  (here: http://biomedcentral.com/1472-6785/12/15/abstract…) so if you're looking for an awesome grad student/tech, let me know!",1,1,10,0,[],[],[],https://pbs.twimg.com/profile_images/1417864084024926211/0f9rYc9o_normal.jpg,https://x.com/Drew_Lab/status/948299183676645377,tweet_id:948299183676645377
Chicago Things to Do,@redeyechicago,2018-01-02T21:03:00.000Z,False,"On deck this week: 
* ""Red Velvet"" at  Theatre
* Free admission at The  Wednesday
* Sons of the Silent Age at http://trib.in/2luvuhA",0,4,8,0,[],"['@chicagoshakes', '@FieldMuseum', '@MetroChicago']",[],https://pbs.twimg.com/profile_images/1284226688390488065/T7iHAAwi_normal.jpg,https://x.com/redeyechicago/status/948298603998531584,tweet_id:948298603998531584
Joshua Drew @Drew_Lab@ecoevo.social,@Drew_Lab@ecoevo.social,2018-01-02T20:49:29.000Z,False,I just got news that my former HS intern has returned to college AND is working at the  doing his thesis on reef fish diversity!!!! I'm so proud of this guy! CC ,1,1,62,0,[],"['@FieldMuseum', '@mwestneat']",[],https://pbs.twimg.com/profile_images/1417864084024926211/0f9rYc9o_normal.jpg,https://x.com/Drew_Lab/status/948295202212544512,tweet_id:948295202212544512
Business Lunchbox,@bizlunchbox,2018-01-02T20:25:32.000Z,False,The Field Museum has some great exhibits via /r/funny http://ift.tt/2DTUo2P,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/522972576977412096/XVZ-AffP_normal.jpeg,https://x.com/bizlunchbox/status/948289173751988225,tweet_id:948289173751988225
The Blackstone Hotel,@BlackstoneHotel,2018-01-02T20:03:25.000Z,False,The Field Museum's Jurassic World exhibition ends soon!  Walk among the dinosaurs this weekend: http://bit.ly/2oa7HEl  #JurassicWorld,1,0,6,0,['#JurassicWorld'],['@FieldMuseum'],['\\U0001f996'],https://pbs.twimg.com/profile_images/1404577319210078208/y6iNS22U_normal.jpg,https://x.com/BlackstoneHotel/status/948283609445732352,tweet_id:948283609445732352
LivingTheQLife | Travel Bloggers,@LivingTheQLife,2018-01-02T19:58:07.000Z,False,"With the temperatures being so cold last week in Chicago, we did several indoor activities.  This dinosaur was part of The Field Museum display.  #travel #photography #Chicago #fieldmuseum #wanderlust #discover #explore #lpfanphoto #dinosaur",1,0,0,0,"['#travel', '#photography', '#Chicago', '#fieldmuseum', '#wanderlust', '#discover', '#explore', '#lpfanphoto', '#dinosaur']",[],[],https://pbs.twimg.com/profile_images/1775233059677179904/e9SYMTlD_normal.jpg,https://x.com/LivingTheQLife/status/948282274742648832,tweet_id:948282274742648832
Nina Sandlin,@nsandlin,2018-01-02T18:50:52.000Z,False,"Two of my favorite accts,  & the . Sigi seems quite rapt",0,0,0,0,[],"['@Ameya_Pawar_IL', '@FieldMuseum']",[],https://pbs.twimg.com/profile_images/272997198/Selfie-2009-06-05_22_normal.jpg,https://x.com/nsandlin/status/948265353116823552,tweet_id:948265353116823552
Ameya Pawar,@Ameya_Pawar_IL,2018-01-02T18:48:15.000Z,False,Spending part of our afternoon at the . Sigi loved all of the animal  exhibits!,1,1,20,0,[],['@FieldMuseum'],['\\U0001f992'],https://pbs.twimg.com/profile_images/1379897655875239940/0FPbgI0r_normal.jpg,https://x.com/Ameya_Pawar_IL/status/948264691767435264,tweet_id:948264691767435264
theWit - A Hilton Hotel,@theWitChicago,2018-01-02T18:30:00.000Z,False,Stay warm by visiting a museum today!         @AmerWriteMuseum ,0,2,3,0,[],"['@artinstitutechi', '@FieldMuseum', '@shedd_aquarium', '@AdlerPlanet', '@DriehausMuseum', '@ChicagoMuseum', '@DuSableMuseum', '@ExploreNMMA', '@msichicago']",[],https://pbs.twimg.com/profile_images/1642962059426930694/ms-6WKEu_normal.png,https://x.com/theWitChicago/status/948260100044554240,tweet_id:948260100044554240
Field Museum,@FieldMuseum,2018-01-02T18:05:16.000Z,False,"This 1939 photo shows mammal preparator Wilmer Eigsti applying finishing taxidermy touches to a pacarana specimen--a rare, large, nocturnal rodent found only in tropical forests of the western Amazon River basin. #TaxidermyTuesday",0,8,18,0,['#TaxidermyTuesday'],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948253878138687489,tweet_id:948253878138687489
Geoff Pan,@geefin,2018-01-02T17:11:21.000Z,False,My little nephew in dinosaur heaven at the  visiting ! Looking good Sue!,2,1,9,0,[],"['@FieldMuseum', '@SUEtheTrex']",[],https://pbs.twimg.com/profile_images/63263495/n8616798_43482529_9891_normal.jpg,https://x.com/geefin/status/948240309296574464,tweet_id:948240309296574464
Gabriel N. U.,@SerpenIllus,2018-01-02T16:59:46.000Z,False,I based the 2D concept art of the adult on “Sue” because I really know well that specimen. Been to the Field Museum several times. The CGI animal was built on “Tristan” afterwards.,0,0,3,0,[],[],[],https://pbs.twimg.com/profile_images/1743503000914554880/eAIG5oiX_normal.jpg,https://x.com/SerpenIllus/status/948237394645606403,tweet_id:948237394645606403
Julie is editing,@JulieBwriter,2018-01-02T16:53:48.000Z,False,,0,0,0,0,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1635764129771270150/mzEV7jqB_normal.jpg,https://x.com/JulieBwriter/status/948235889230204929,tweet_id:948235889230204929
Jason Grandt,@43SquareMiles,2018-01-02T16:14:57.000Z,False,Way to go  #SpecimensFM is one of best!,0,0,1,0,['#SpecimensFM'],['@FieldMuseum'],[],https://pbs.twimg.com/profile_images/1545467332486733824/08TrWv_1_normal.jpg,https://x.com/43SquareMiles/status/948226113490300929,tweet_id:948226113490300929
lex,@lex_lorr,2018-01-02T16:03:00.000Z,False,Its free day at the chicago field museum thursday someone anyone lets goooo.,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/998326691368861696/hF0W0uNN_normal.jpg,https://x.com/lex_lorr/status/948223107336155136,tweet_id:948223107336155136
The Local Tourist,@thelocaltourist,2018-01-02T16:00:04.000Z,False,Hey - wanna know something awesome? The Field Museum is free the ENTIRE MONTH of February! Sue says that's RAWRsome http://ift.tt/2hR52gU,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1406607473042145280/BupqhfVx_normal.jpg,https://x.com/thelocaltourist/status/948222369889509377,tweet_id:948222369889509377
Quest Nature Tours,@questnaturetour,2018-01-02T15:54:56.000Z,False,This is awesome- thanks!!,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1415679487719612417/nkLByQBt_normal.jpg,https://x.com/questnaturetour/status/948221078068957184,tweet_id:948221078068957184
Algonquin Wildlife Research Station,@AlgonquinWRS,2018-01-02T15:52:00.000Z,False,"Finally, I would highly recommend the free field guides available from : http://fieldguides.fieldmuseum.orgTarget your search for ""Tropical America: --> ""Peru"" --> ""Animals"" --> select taxa as relevant. I printed+laminated these guides when I explored Amazonia!
(6/n)",1,0,1,0,[],['@FieldMuseum'],[],https://pbs.twimg.com/profile_images/1660733636767895573/Whiqf6B-_normal.jpg,https://x.com/AlgonquinWRS/status/948220339032678400,tweet_id:948220339032678400
Field Museum,@FieldMuseum,2018-01-02T15:25:10.000Z,False,"#TFW the holidays are over, and it's your first day back at work. 

[If I stare intently at my computer screen, maybe I'll remember what I do here. ]",1,2,38,0,['#TFW'],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948213585586675712,tweet_id:948213585586675712
Field Museum,@FieldMuseum,2018-01-02T15:24:48.000Z,False,"Thank you! This specimen (from Breckenridge, CO) was donated to us in 2008. You can read more on our gems and minerals collections here: http://bit.ly/GemsMinerals",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948213493114855426,tweet_id:948213493114855426
hermmays is also on Mastodon,@hermmays,2018-01-02T15:02:57.000Z,False,I was there over the summer. This was one of the best natural history museum exhibits I’ve ever seen! #museums #naturalhistory #evolution,0,0,1,0,"['#museums', '#naturalhistory', '#evolution']",[],[],https://pbs.twimg.com/profile_images/1339401741159247872/3FZbEADw_normal.jpg,https://x.com/hermmays/status/948207996764606465,tweet_id:948207996764606465
Field Museum,@FieldMuseum,2018-01-02T14:52:18.000Z,False,"Jurassic World is open and will operate from 10am - 4pm today, Jan 2. Please prepare for cool conditions in the tents. If you have any questions or concerns, please call the dedicated hotline at 312-665-7959. Thank you!",0,1,12,0,[],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/948205312997298176,tweet_id:948205312997298176
ariNyoká,@ariannaaaaj_,2018-01-02T07:59:37.000Z,False,if i don't go 2 the field museum soon i'm going 2 cry ;(( a bitch jus tryna see the dinosaurs smh.,0,1,2,0,[],[],[],https://pbs.twimg.com/profile_images/1830382658620096512/LgeaAuw2_normal.jpg,https://x.com/ariannaaaaj_/status/948101458079166464,tweet_id:948101458079166464
Sean M. O'Connor,@Atradates,2018-01-02T05:55:21.000Z,False,“Bushman at Lincoln Park Zoo and The Field Museum” by S.M. O’Connor https://notesonculturedotblog.wordpress.com/2018/01/02/bushman-at-lincoln-park-zoo-and-the-field-museum-by-s-m-oconnor/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/491426191681662976/heu3UyJ3_normal.jpeg,https://x.com/Atradates/status/948070187458269185,tweet_id:948070187458269185
Karen Lebens,@farwest8,2018-01-02T04:13:05.000Z,False,"I love Chicago, the Field Museum is the bomb, I live there on visits. But Seattle has Mt. Rainier & the /Sound, Portland Mt. Hood- I rest",1,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/953751378588872704/ucuOYPcj_normal.jpg,https://x.com/farwest8/status/948044449157804032,tweet_id:948044449157804032
Who cares,@supschultz,2018-01-02T04:05:45.000Z,False,The news just reported that they've shut the Ferris wheel down because it's  too cold. I'm far more upset that they keep shutting down the dinos at the Jurassic park exhibit at the field museum,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1491652840674238470/oNoavwFs_normal.jpg,https://x.com/supschultz/status/948042604645634049,tweet_id:948042604645634049
erin alyce,@herooine,2018-01-02T03:50:46.000Z,False,"the planetarium is my favorite. and the field museum. and lincoln park zoo is okay. but the brookfield zoo is better. however, lincoln park has the park and the conservatory and the gardens and stuff.",1,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1650630528268132352/5EHlV1gf_normal.jpg,https://x.com/herooine/status/948038832536150021,tweet_id:948038832536150021
Luke Venhuizen,@hIImluke31,2018-01-02T02:54:54.000Z,False,Me in 2017. Me in 2018. #Whatever #IAcceptIt #Broke @ The Field Museum instagram.com/p/BdblnEZh5ao/,0,0,2,0,"['#Whatever', '#IAcceptIt', '#Broke']",[],[],https://pbs.twimg.com/profile_images/1177766792971915264/aM1Dvvub_normal.jpg,https://x.com/hIImluke31/status/948024775128973312,tweet_id:948024775128973312
The lady w/ the food,@NicoleTheSLP,2018-01-02T02:25:45.000Z,False,"Willis tower, the field museum, pequod's deep-dish pizza place...",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1196520922729107456/_Cx8kpXr_normal.jpg,https://x.com/NicoleTheSLP/status/948017440021102592,tweet_id:948017440021102592
Ailsa,@ailsabm,2018-01-02T00:07:28.000Z,False,Made good use of the City Pass and managed to visit the Field Museum and Shedd Aquarium #chicago… https://instagram.com/p/BdbScyUA_OJ/,0,0,0,0,['#chicago'],[],[],https://pbs.twimg.com/profile_images/1533949186944679936/3oDaQJ9x_normal.jpg,https://x.com/ailsabm/status/947982638979141634,tweet_id:947982638979141634
Jessica the pre-successful writer,@jessmondywrites,2018-01-01T23:12:53.000Z,False,I'm pretty sure I learned this at the Field Museum so @SCFtheWriter feel free to fact check me lol,1,0,4,0,[],[],[],https://pbs.twimg.com/profile_images/1153008649738117121/9rVtOWmr_normal.jpg,https://x.com/jessmondywrites/status/947968902285398018,tweet_id:947968902285398018
Elise in space,@SpacesCountToo,2018-01-01T23:01:25.000Z,False,"If you want more museumy things, Modern Art Institute's solid, Adler Planetarium's somewhere there, and the Field Museum's always fun!",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1619999506954653699/4soV9enA_normal.jpg,https://x.com/SpacesCountToo/status/947966016885227520,tweet_id:947966016885227520
Shannon Ferretti,@shannonferretti,2018-01-01T20:36:11.000Z,False,Small world!! We're at the Field Museum. It's COLD!,1,0,5,0,[],[],[],https://pbs.twimg.com/profile_images/1585292651301113856/UbcHL5Vv_normal.jpg,https://x.com/shannonferretti/status/947929469859360768,tweet_id:947929469859360768
Hannah Norton,@hmnorton,2018-01-01T19:26:52.000Z,False,"Umm so heads up,  and . I may need a stop at the  in March pre-Hamilton if possible because, well, I'm a big ole nerd/love that place.",0,0,5,0,[],"['@madsteb', '@alyssabou', '@FieldMuseum']",[],https://pbs.twimg.com/profile_images/1444744942597849088/oQjtE9WQ_normal.jpg,https://x.com/hmnorton/status/947912022183858177,tweet_id:947912022183858177
Rusty Russell,@rustyrussell22,2018-01-01T19:08:10.000Z,False,Happy Sue Year  ! ,0,2,33,0,[],"['@FieldMuseum', '@SUEtheTrex']",[],https://pbs.twimg.com/profile_images/1165482152982646784/svv6o6R8_normal.jpg,https://x.com/rustyrussell22/status/947907318812954629,tweet_id:947907318812954629
Rusty Russell,@rustyrussell22,2018-01-01T19:06:30.000Z,False,Subzero temps don't dissuade hearty Chicagoans and others from visiting . Happy New Year!,0,0,1,0,[],['@FieldMuseum'],[],https://pbs.twimg.com/profile_images/1165482152982646784/svv6o6R8_normal.jpg,https://x.com/rustyrussell22/status/947906898786947072,tweet_id:947906898786947072
The Local Tourist,@thelocaltourist,2018-01-01T19:00:47.000Z,False,Hey - wanna know something awesome? The Field Museum is free the ENTIRE MONTH of February! Sue says that's RAWRsome http://ift.tt/2hR52gU,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1406607473042145280/BupqhfVx_normal.jpg,https://x.com/thelocaltourist/status/947905459960336385,tweet_id:947905459960336385
Carl Hannah,@carlhannah,2018-01-01T18:02:40.000Z,False,"After the visit, The Purple Pig will fill you with ham.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1461320104369610757/UkaYz0d0_normal.jpg,https://x.com/carlhannah/status/947890835991023618,tweet_id:947890835991023618
David Kroll,@davidkroll,2018-01-01T16:44:51.000Z,False,What a gorgeous specimen. Who made the collection and what year?,1,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1614286252672704513/zLuLpwr3_normal.jpg,https://x.com/davidkroll/status/947871252366098434,tweet_id:947871252366098434
Field Museum,@FieldMuseum,2018-01-01T16:40:09.000Z,False,"Wishing you a shiny and bright 2018! Most minerals, gold included, grow as crystals. This chunk of crystallized gold, found in Breckenridge CO, shows the intertwined crystals and hints at their delicate structure. #HappyNewYear",1,16,44,0,['#HappyNewYear'],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/947870069207523328,tweet_id:947870069207523328
Field Museum,@FieldMuseum,2018-01-01T16:36:32.000Z,False,"So sorry for the confusion. Jurassic World: The Exhibition is open today, Monday, 1/1, until 4, with last admisson at 3.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/947869156359196672,tweet_id:947869156359196672
Field Museum,@FieldMuseum,2018-01-01T16:29:49.000Z,False,"In fact we are open, and Jurassic World: The Exhibition is open until 4, with last admission at 3.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/971026606218031104/LmO611Na_normal.jpg,https://x.com/FieldMuseum/status/947867468399284224,tweet_id:947867468399284224
